Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105740483,Utah,11.5,0.0,46,3.0,Wasatch Range,Trad
105750748,Colorado,26.0,1.5,7,3.4,Boulder,Trad
106240365,California,27.0,0.0,6,5.0,Yosemite National Park,Trad
105741299,Utah,16.0,0.0,10,2.5,Wasatch Range,Sport
105735344,California,22.5,0.0,5,2.8,San Francisco Bay Area,Sport
106809041,South Dakota,16.5,0.0,16,3.8,Spearfish Canyon,Sport
106274295,Utah,21.0,0.0,28,3.9,Wasatch Range,Trad
105754714,Colorado,20.0,0.0,120,3.9,Boulder,Trad
105757843,Colorado,10.5,0.0,34,3.6,Boulder,Trad
105869244,Kentucky,23.0,0.0,29,4.4,Red River Gorge,Sport
105735719,California,19.0,0.0,21,3.2,San Francisco Bay Area,Trad
105752293,Colorado,25.0,1.0,26,3.8,Canon City,Sport
105922852,New Hampshire,16.0,0.5,19,3.1,Cathedral Ledge,Trad
106243470,Utah,14.5,0.0,10,2.5,Wasatch Range,Trad
105966226,Utah,22.5,0.0,27,4.0,Moab Area,Trad
105830332,New York,11.5,0.0,22,2.5,The Gunks,Trad
106157768,Colorado,24.5,1.0,7,2.6,Canon City,Sport
107696956,South Dakota,19.0,0.0,11,4.0,Spearfish Canyon,Sport
105740540,Utah,14.5,0.0,59,2.8,Maple Canyon,Sport
105763734,Colorado,19.0,3.0,8,2.5,Boulder,Trad
105957381,Colorado,13.0,0.0,43,2.9,Boulder,Trad
106460410,South Dakota,16.0,0.0,37,4.5,Spearfish Canyon,Sport
105912593,New Hampshire,25.0,1.0,7,4.1,Rumney,Sport
107652220,New Hampshire,17.5,0.0,17,3.8,New Durham Area  (South of Lake Winnipesaukee),Trad
105748241,Colorado,18.0,0.0,59,3.3,Boulder,Trad
106004029,Colorado,16.0,0.5,23,2.9,Canon City,Sport
106070861,Oregon,30.0,0.0,11,4.9,Central Oregon,Sport
106680125,California,7.5,0.0,14,2.5,Joshua Tree National Park,Trad
105874557,California,20.0,0.0,23,4.4,Yosemite National Park,Trad
107786624,South Dakota,16.0,0.0,5,4.4,Mount Rushmore National Memorial,Trad
106036922,Colorado,23.0,0.0,25,3.3,Canon City,Sport
106290265,Kentucky,24.0,0.0,27,4.8,Red River Gorge,Sport
105862957,California,17.5,0.0,46,4.4,Yosemite National Park,Trad
105763143,Colorado,25.0,0.0,19,3.2,Boulder,Sport
106300123,South Dakota,28.0,0.0,7,4.7,The VC,Sport
105762126,Colorado,18.0,0.5,14,2.6,Boulder,Trad
106159417,Wyoming,24.5,0.0,14,3.6,Ten Sleep Canyon,Sport
106927822,Kentucky,22.0,0.0,47,4.0,Red River Gorge,Sport
108818050,Utah,20.5,0.5,6,3.2,Zion National Park,Trad
105717466,Utah,26.5,2.0,55,4.9,Moab Area,Trad
105753046,Colorado,14.5,-0.5,19,3.8,Boulder,Trad
106260021,Washington,26.0,0.0,9,4.8,Central Region,Sport
106574159,New Hampshire,19.0,0.0,13,3.5,Kancamagus Crags,Trad
106293189,Oregon,27.0,0.0,10,3.6,Portland & The Gorge,Sport
106184167,Wyoming,17.0,0.0,20,2.9,Vedauwoo,Trad
105807732,Oregon,17.5,0.0,11,3.6,Central Oregon,Trad
105717895,Utah,21.0,0.0,127,4.6,Zion National Park,Sport
108147855,Colorado,30.0,0.0,8,4.6,Boulder,Sport
105874590,California,26.0,0.0,24,5.0,Yosemite National Park,Trad
105933396,Utah,22.0,0.0,38,3.7,Moab Area,Trad
105756586,Colorado,17.5,0.0,92,3.0,Canon City,Sport
105980650,Idaho,19.0,0.0,17,3.8,City of Rocks,Trad
105979094,California,16.0,0.0,49,3.4,Yosemite National Park,Trad
107067215,Wyoming,17.5,0.0,7,3.6,Fremont Canyon,Trad
105759762,Colorado,14.5,-1.5,7,2.0,Boulder,Trad
106651151,Colorado,22.75,0.25,7,2.9,Boulder,Trad
105990015,Utah,18.0,0.0,25,2.9,Wasatch Range,Sport
106388677,California,14.5,0.0,26,2.5,San Francisco Bay Area,Trad
105754219,Colorado,16.0,0.0,15,2.7,Boulder,Trad
105816742,Oregon,24.5,0.0,7,2.9,Central Oregon,Sport
105865640,Nevada,21.0,0.5,13,3.6,Red Rock,Sport
106026200,California,22.5,0.0,36,4.0,Yosemite National Park,Trad
105715664,South Dakota,20.0,0.0,30,5.0,Custer State Park,Trad
108309654,Utah,25.0,0.0,6,3.0,Wasatch Range,Sport
106552694,New Hampshire,8.5,0.0,7,3.1,Whitehorse Ledge,Trad
106183790,Idaho,19.0,1.0,21,3.3,City of Rocks,Trad
107095297,California,19.0,0.0,16,2.9,Yosemite National Park,Trad
107659002,Washington,19.0,0.0,7,3.3,Central Region,Sport
108132901,Idaho,26.5,0.0,6,4.0,South Park,Sport
105891681,Kentucky,20.0,-1.0,64,3.5,Red River Gorge,Sport
107970105,International,14.5,0.0,6,3.5,Asia,Sport
105734573,California,26.0,1.0,10,4.4,San Francisco Bay Area,Sport
105811332,Oregon,19.0,0.0,5,3.0,Central Oregon,Trad
106129030,Utah,22.0,0.0,17,3.7,Maple Canyon,Sport
105827636,Wyoming,31.0,0.0,7,3.7,Lander Area,Sport
106547079,International,22.0,0.0,11,4.2,North America,Trad
107251252,Idaho,13.0,0.0,5,2.4,Black Cliffs,Trad
108326274,Utah,22.5,0.0,6,3.0,Wasatch Range,Sport
105935674,New Hampshire,17.5,0.0,44,4.0,Cathedral Ledge,Trad
105977181,Utah,20.5,0.0,9,3.2,Moab Area,Trad
106036361,Utah,21.0,0.5,13,3.6,Moab Area,Trad
105839948,Wyoming,23.0,0.0,12,4.4,Grand Teton National Park,Trad
106883120,Wyoming,22.5,0.5,18,3.4,Lander Area,Sport
105973231,Colorado,11.5,0.0,66,2.4,Boulder,Trad
107573005,Washington,22.0,1.0,10,4.1,Central Region,Sport
105839486,Utah,16.0,0.0,6,3.7,Wasatch Range,Trad
105864025,Idaho,19.0,0.0,34,3.8,City of Rocks,Sport
107559669,South Dakota,19.0,-0.5,7,4.1,Spearfish Canyon,Sport
105989837,Colorado,20.0,0.0,17,3.6,Rifle,Sport
106094774,International,22.5,0.0,7,3.9,Asia,Sport
106183204,International,22.0,0.0,91,4.6,North America,Sport
106849536,Kentucky,21.0,0.0,8,3.0,Red River Gorge,Sport
109565046,Oregon,19.0,-0.5,5,4.0,Central Oregon,Trad
106422472,Kentucky,19.0,0.0,103,3.9,Red River Gorge,Sport
106597873,Washington,21.0,0.5,9,3.2,Central-East Cascades,Trad
105734759,California,19.0,0.0,19,3.9,San Francisco Bay Area,Sport
106277210,Utah,19.0,0.0,11,2.7,Maple Canyon,Sport
105764727,Colorado,17.5,1.5,37,2.5,Boulder,Trad
107321732,New Hampshire,18.0,0.0,6,3.7,Whitehorse Ledge,Trad
107884609,New York,20.0,0.0,15,3.9,Adirondacks,Sport
107379163,Kentucky,19.0,0.0,24,3.6,Red River Gorge,Sport
105751363,Colorado,23.0,-1.0,33,4.4,Boulder,Trad
105749539,Colorado,14.5,0.0,55,2.1,Boulder,Trad
106242673,Utah,20.0,0.0,27,3.8,Maple Canyon,Sport
105956683,New Hampshire,23.0,0.0,9,3.0,Rumney,Sport
105732851,Nevada,16.0,0.0,18,3.4,Red Rock,Trad
107964737,International,22.0,0.0,5,3.2,Asia,Sport
105880960,Kentucky,13.0,0.0,10,3.6,Red River Gorge,Trad
105751408,Colorado,23.0,0.0,52,3.6,Boulder,Trad
105956310,Wyoming,27.0,1.0,9,4.6,Ten Sleep Canyon,Sport
106999446,International,22.0,0.0,15,4.2,North America,Trad
105756556,Colorado,14.5,0.0,89,3.0,Boulder,Trad
105802275,Oregon,21.0,0.0,49,4.2,Central Oregon,Sport
106510631,International,19.0,0.0,6,3.0,North America,Trad
106517496,Utah,26.0,0.0,45,4.4,Wasatch Range,Sport
107965974,Oregon,20.0,-1.0,13,3.8,Central Oregon,Sport
106443441,Wyoming,17.5,-1.5,6,2.5,Lander Area,Sport
106260788,Idaho,22.5,0.0,23,4.7,City of Rocks,Trad
107859007,Wyoming,26.0,0.0,14,4.6,Ten Sleep Canyon,Sport
106849486,Kentucky,13.0,0.0,28,3.0,Red River Gorge,Sport
105754330,Colorado,31.0,0.5,14,4.1,Rifle,Sport
107114096,South Dakota,19.5,0.0,7,3.0,Spearfish Canyon,Sport
106491857,California,26.0,0.0,9,4.9,Yosemite National Park,Trad
106123012,Wyoming,11.5,0.0,30,2.8,Devil's Tower,Trad
105880834,Oregon,28.0,0.0,11,4.5,Central Oregon,Sport
106078582,New York,24.5,0.0,7,3.1,The Gunks,Trad
105811870,Idaho,19.0,0.0,56,4.5,Castle Rocks,Sport
107433601,Kentucky,25.0,0.0,9,3.9,Red River Gorge,Sport
106112901,Maine,26.0,1.5,7,3.4,Acadia National Park,TR
106456409,California,16.5,0.0,7,3.3,Yosemite National Park,Trad
105856439,Colorado,26.5,-0.5,6,2.8,Boulder,Sport
106386563,Colorado,19.0,1.0,32,2.4,Boulder,Trad
106502634,International,15.0,0.0,7,4.3,Europe,Trad
106327525,International,20.0,0.0,8,4.1,North America,Sport
105749038,Colorado,16.0,0.0,106,3.5,Boulder,Trad
106800426,Wyoming,17.0,-0.5,6,2.2,Lander Area,Sport
105732962,Nevada,16.5,0.0,52,2.3,Red Rock,Sport
106049524,New York,16.0,0.0,52,4.5,Adirondacks,Trad
107111449,Montana,20.0,0.0,8,4.2,Rattler Gulch,Sport
105722764,California,17.5,-1.5,10,2.9,Joshua Tree National Park,Trad
105794275,Washington,18.0,0.0,15,3.1,Central-East Cascades,Sport
106017548,Utah,26.5,0.0,48,4.6,Moab Area,Trad
106189887,Kentucky,17.5,0.0,96,3.4,Red River Gorge,Sport
105829719,Wyoming,19.0,0.0,12,3.6,Fremont Canyon,Sport
105934973,Utah,18.0,0.0,78,3.2,Moab Area,Trad
106727576,New Hampshire,25.0,0.0,7,4.4,Cathedral Ledge,Trad
106884751,International,13.0,0.0,7,3.3,North America,Sport
106146083,Utah,20.0,0.0,7,2.7,Moab Area,Trad
105870239,Kentucky,23.0,0.0,11,4.2,Red River Gorge,Sport
106018100,New Hampshire,16.0,0.0,14,3.6,Rumney,Sport
107182839,Wyoming,25.0,0.0,8,5.0,Devil's Tower,Trad
107720422,Utah,15.5,0.0,9,2.8,Wasatch Range,Sport
107572973,Washington,19.0,0.0,12,2.8,Central Region,Sport
105811893,Nevada,17.0,0.0,58,3.3,Red Rock,Sport
106015225,Oregon,23.0,0.0,5,3.0,Mt. Hood,Sport
105740663,Utah,13.0,-1.5,16,2.5,Wasatch Range,Sport
105799421,New York,14.5,0.0,162,4.6,The Gunks,Trad
106488551,Wyoming,24.0,-2.0,5,4.6,Vedauwoo,Trad
106520871,Utah,26.0,1.0,7,3.0,Wasatch Range,Sport
106225765,California,22.0,0.0,25,4.5,Yosemite National Park,Trad
105987340,International,17.5,0.0,23,3.3,North America,Trad
105957589,International,13.0,0.0,7,2.3,North America,Trad
106703738,Nevada,16.5,0.0,7,3.4,Red Rock,TR
105841216,Wyoming,22.0,0.0,68,4.7,Lander Area,Sport
106001915,Utah,17.5,1.0,18,2.7,Wasatch Range,Sport
105866724,Nevada,19.0,0.0,9,3.4,Mount Charleston,Sport
105920872,New Hampshire,16.0,-0.5,138,4.4,Cathedral Ledge,Trad
105937826,Washington,19.0,0.0,10,4.4,Southeast Cascades & Yakima,Trad
107682671,Idaho,20.0,0.0,6,3.7,Castle Rocks,Sport
107027055,California,17.5,0.0,16,3.3,Yosemite National Park,Trad
105845886,Idaho,16.0,0.0,16,3.7,City of Rocks,Trad
106026660,Kentucky,16.0,0.0,26,2.8,Red River Gorge,Sport
106041632,New Hampshire,24.0,0.0,5,3.8,Rumney,Sport
105979760,International,15.5,0.0,75,4.1,North America,Trad
105722164,California,14.5,0.0,103,3.7,Joshua Tree National Park,Trad
107110067,Montana,16.0,0.0,11,3.9,Kootenai Canyon,Trad
105915723,Nevada,18.0,0.0,7,3.0,Red Rock,Trad
106489859,Idaho,19.0,0.0,5,3.2,Q'Emilin Park,Sport
106502664,International,13.0,0.0,6,4.0,Europe,Trad
106731023,Nevada,14.5,0.0,14,3.7,Red Rock,Trad
105740567,Utah,14.5,0.0,23,2.6,Maple Canyon,Sport
105725020,California,19.0,0.0,12,2.8,Joshua Tree National Park,Trad
105864806,Nevada,11.5,0.0,19,2.3,Red Rock,Trad
107855115,Kentucky,17.5,0.0,11,2.0,Red River Gorge,Sport
105812662,Oregon,13.0,0.0,24,3.9,Central Oregon,Trad
108045830,Idaho,14.5,0.0,6,2.7,Castle Rocks,Sport
106598700,New Hampshire,21.0,0.0,35,3.2,Rumney,Sport
105992900,New York,18.0,0.0,5,2.2,Little Falls,Sport
106020501,Utah,19.0,1.5,23,3.1,Wasatch Range,Sport
106142995,Wyoming,30.0,0.0,8,3.5,Lander Area,Sport
105959353,New Hampshire,22.0,0.0,106,3.9,Rumney,Sport
105756580,Colorado,22.0,0.0,14,4.0,Boulder,Trad
105804868,New York,13.0,0.0,75,3.6,The Gunks,Trad
106643979,Colorado,24.0,0.0,23,3.6,Canon City,Sport
106255084,Washington,16.0,0.0,31,3.4,Central-East Cascades,Trad
106388840,New Hampshire,17.5,0.5,11,3.5,Attitash Crag,Trad
105749929,Colorado,17.5,-0.5,93,3.5,Canon City,Sport
106183120,International,27.0,0.5,26,4.5,North America,Sport
106541066,Oregon,16.0,0.0,7,2.7,Portland & The Gorge,Trad
105863220,Wyoming,26.0,0.0,29,3.6,Lander Area,Sport
106434115,Washington,22.0,0.0,9,4.1,Central-East Cascades,Trad
105752158,Wyoming,11.5,-1.5,9,3.2,Vedauwoo,Trad
105741008,Idaho,16.0,0.0,24,3.4,City of Rocks,Sport
105765036,Colorado,26.0,0.0,20,4.2,Canon City,Sport
105739988,Utah,20.0,0.0,41,3.9,Wasatch Range,Trad
107073227,International,23.0,0.0,13,4.5,Asia,Sport
107767790,Utah,22.0,0.0,5,2.8,Wasatch Range,Sport
106265743,International,26.0,0.0,7,3.3,North America,Sport
106934965,South Dakota,22.75,0.0,19,4.5,Spearfish Canyon,Sport
105723400,California,17.5,1.5,46,3.0,Joshua Tree National Park,Trad
106842554,International,17.5,0.0,26,3.9,North America,Trad
105722917,California,13.0,0.0,15,2.1,Joshua Tree National Park,Trad
105741728,Utah,18.0,0.0,12,3.2,Wasatch Range,Trad
105996018,Colorado,22.0,0.0,61,2.5,Boulder,Sport
107178574,Wyoming,22.5,0.0,5,4.4,Devil's Tower,Trad
109503521,Oregon,14.5,0.0,6,3.0,Mt. Hood,Sport
105752221,Wyoming,26.0,0.0,7,4.9,Vedauwoo,Sport
105889232,Oregon,17.5,0.0,14,3.4,Central Oregon,Trad
106157943,Wyoming,23.0,0.0,5,3.4,Cody,Sport
106478626,South Dakota,19.0,0.0,10,3.9,Spearfish Canyon,Sport
107496893,New Hampshire,23.5,0.0,7,4.9,Cannon Cliff ,Trad
107302321,Utah,22.5,1.5,12,3.2,Maple Canyon,Sport
106060694,Idaho,20.0,0.0,16,3.8,Black Cliffs,Sport
106129021,Utah,22.5,0.0,31,4.4,Maple Canyon,Sport
105717676,Utah,22.0,0.0,101,4.4,Moab Area,Trad
105753604,Colorado,22.5,0.0,123,3.6,Boulder,Sport
106265765,International,23.0,0.0,21,3.9,North America,Sport
105750514,Colorado,17.5,0.0,110,3.6,Boulder,Trad
105815363,New York,16.0,0.0,111,4.3,The Gunks,Trad
106571193,International,19.0,0.0,5,2.8,North America,Sport
107057624,California,14.5,0.0,7,3.7,Yosemite National Park,Trad
106181771,International,22.5,0.0,17,3.6,North America,Sport
106587152,Utah,28.0,0.5,6,4.2,Moab Area,Trad
106180711,International,23.0,0.0,10,3.5,North America,Sport
107246000,Utah,15.0,-1.0,6,3.5,Wasatch Range,Trad
106436531,New Hampshire,28.0,-1.0,6,2.0,Kancamagus Crags,Sport
106933821,South Dakota,17.5,0.0,21,4.6,Spearfish Canyon,Sport
106334528,International,28.5,0.0,7,4.9,Europe,Sport
105740192,Utah,16.0,1.0,8,2.8,Wasatch Range,Trad
105860773,Kentucky,24.0,0.0,7,4.0,Red River Gorge,Sport
105900947,California,19.0,0.0,5,3.6,Yosemite National Park,Trad
105756505,Colorado,22.0,0.0,13,2.9,Boulder,Trad
105808941,Nevada,25.0,0.0,15,3.7,Red Rock,Sport
105826602,Nevada,21.0,0.0,151,3.9,Red Rock,Sport
105838643,Washington,17.5,0.0,79,3.5,Central-West Cascades & Seattle,Trad
105732689,Nevada,22.5,0.0,14,3.4,Red Rock,Trad
106878670,International,28.0,0.0,5,4.6,Asia,Sport
107226074,Utah,17.5,0.0,5,3.4,Wasatch Range,Trad
107120228,South Dakota,23.0,0.0,5,3.2,Spearfish Canyon,Sport
105884971,New Hampshire,30.0,0.0,22,4.6,Rumney,Sport
106039587,Oregon,17.5,0.0,29,2.8,Central Oregon,Sport
107414631,South Dakota,13.0,0.0,9,4.2,Custer State Park,Trad
106061920,Kentucky,22.5,1.5,76,3.9,Red River Gorge,Sport
105977559,Nevada,16.0,-1.5,7,3.0,Red Rock,Trad
106290367,Idaho,17.5,0.0,18,3.3,Black Cliffs,Trad
107828896,California,20.0,0.0,6,3.2,San Francisco Bay Area,Sport
106106417,Colorado,17.5,0.0,87,2.6,Boulder,Sport
106252688,Colorado,26.0,-0.5,9,3.3,Rifle,Sport
107924777,Colorado,22.5,0.0,9,3.9,Canon City,Sport
105715709,South Dakota,10.5,0.0,5,2.2,Mount Rushmore National Memorial,Sport
106787971,Utah,23.5,0.0,5,5.0,Moab Area,Trad
105740222,Utah,18.0,0.0,12,2.8,Wasatch Range,Trad
105798767,Utah,21.0,0.0,13,4.8,Moab Area,Trad
105815502,Nevada,23.0,0.0,6,4.0,Red Rock,Trad
105855725,Utah,20.0,0.0,26,3.3,Maple Canyon,Sport
105734666,California,19.0,1.5,13,2.9,San Francisco Bay Area,TR
105722419,California,14.5,0.0,57,3.1,Joshua Tree National Park,Trad
106032487,Oregon,13.0,0.0,34,2.8,Central Oregon,Trad
109440145,Maine,13.0,0.0,6,3.7,Acadia National Park,Trad
105966571,New Hampshire,24.0,0.0,5,3.6,Rumney,Sport
108563786,Nevada,14.5,0.0,8,2.9,Red Rock,Sport
105754711,Colorado,22.5,-0.5,28,4.5,Canon City,Sport
106054717,Colorado,16.5,0.0,14,3.1,Boulder,Trad
106480430,International,19.5,0.0,42,4.0,North America,Trad
106920312,Kentucky,25.0,0.0,29,4.6,Red River Gorge,Sport
108033560,International,19.0,-0.5,10,3.2,North America,Trad
107129129,Utah,19.0,0.0,16,3.7,Maple Canyon,Sport
106017041,Wyoming,19.0,0.0,29,3.2,Lander Area,Sport
105725260,California,17.5,0.0,12,2.4,Joshua Tree National Park,Sport
106840672,Wyoming,26.0,0.0,15,4.2,Ten Sleep Canyon,Sport
105836970,Nevada,19.5,0.0,33,3.4,Red Rock,Trad
105752629,Colorado,24.0,1.0,14,3.2,Canon City,Sport
105961577,Montana,16.0,0.0,14,3.4,Gallatin Canyon,Trad
105736055,California,17.5,0.0,23,3.0,San Francisco Bay Area,Sport
105751300,Colorado,16.0,0.0,28,3.8,Boulder,Trad
106025450,Utah,19.0,0.0,29,3.8,Wasatch Range,Sport
105718534,Utah,21.0,0.0,77,3.7,Moab Area,Trad
105725026,California,11.5,0.0,35,2.5,Joshua Tree National Park,Trad
105754144,Colorado,31.5,0.5,12,4.2,Canon City,Sport
106526827,New York,10.5,0.0,28,2.8,Adirondacks,Trad
107483806,Montana,17.5,0.0,5,3.4,Billings Rimrocks,Sport
105948388,Nevada,30.0,0.0,11,4.5,Red Rock,Sport
105753331,Colorado,29.0,0.0,29,4.5,Rifle,Sport
105915030,Nevada,26.0,1.5,11,4.0,Red Rock,Sport
105808849,Utah,26.5,1.5,63,4.0,Maple Canyon,Sport
106444616,New York,16.0,0.0,50,3.5,The Gunks,Trad
106791296,Idaho,19.0,0.0,7,3.3,City of Rocks,Trad
106580249,Kentucky,15.0,0.0,88,3.2,Red River Gorge,Sport
105721720,California,20.0,0.0,122,3.9,Joshua Tree National Park,Trad
105757186,Wyoming,17.5,0.5,6,3.5,Vedauwoo,Trad
105902070,New York,8.5,0.0,14,3.0,The Gunks,Trad
105807598,Oregon,21.0,0.0,12,3.8,Central Oregon,Sport
106317991,Colorado,26.0,1.0,7,3.4,Canon City,Sport
106892481,International,14.5,0.0,6,3.7,North America,Trad
105756502,Colorado,8.5,0.0,49,3.7,Boulder,Trad
106959436,International,22.5,0.0,7,4.3,Asia,Sport
107609134,Idaho,16.0,0.0,14,2.8,Black Cliffs,Sport
105734957,California,10.5,0.0,6,3.0,San Francisco Bay Area,Trad
106214068,Washington,20.0,0.0,24,3.6,Central-East Cascades,Trad
