Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105741011,Idaho,14.5,0.0,164,3.8,City of Rocks,Trad
105822918,Utah,14.5,0.0,102,4.1,Wasatch Range,Trad
105721840,California,17.5,0.0,80,3.8,Joshua Tree National Park,Trad
105858078,International,21.0,0.0,57,4.2,North America,Sport
105732260,Nevada,17.5,0.0,154,4.1,Red Rock,Trad
105717652,Utah,20.0,0.0,79,3.2,Moab Area,Trad
105721639,California,14.5,0.0,70,3.8,Joshua Tree National Park,Trad
105718768,Utah,20.0,0.0,147,4.2,Moab Area,Trad
105759594,Colorado,19.0,0.0,103,4.1,Canon City,Sport
105740984,Idaho,17.5,0.0,215,4.1,City of Rocks,Trad
105722119,California,17.5,0.0,60,3.2,Joshua Tree National Park,Trad
106113458,Colorado,20.0,0.0,113,3.7,Boulder,Sport
105756532,Colorado,16.5,0.5,116,2.9,Boulder,Sport
105723016,California,14.5,-1.0,69,3.0,Joshua Tree National Park,Trad
105732242,Nevada,16.0,0.0,270,4.1,Red Rock,Trad
105725401,California,17.5,-0.5,90,4.1,Joshua Tree National Park,Trad
105740342,Utah,20.0,-1.0,111,3.1,Wasatch Range,Sport
105732458,Nevada,21.0,0.0,190,4.0,Red Rock,Trad
105748912,Colorado,14.5,0.0,63,2.9,Boulder,Trad
105975347,Colorado,22.5,0.0,35,3.1,Boulder,Sport
105732392,Nevada,20.0,0.0,259,4.8,Red Rock,Trad
105750649,Colorado,17.5,-0.5,68,4.0,Boulder,Trad
105764040,Colorado,16.0,0.0,135,2.8,Boulder,Sport
105740513,Utah,13.0,0.0,67,3.0,Wasatch Range,Trad
105754729,Colorado,23.0,0.5,92,3.2,Boulder,Sport
105748436,Colorado,23.0,0.0,55,3.0,Boulder,Sport
105749296,Colorado,16.5,0.0,152,3.9,Boulder,Trad
105819734,Nevada,16.5,0.0,137,3.0,Red Rock,Sport
105835754,California,13.0,0.0,97,4.2,Yosemite National Park,Trad
105753100,Colorado,23.0,-1.0,61,4.1,Boulder,Trad
105944650,Nevada,19.5,0.5,111,2.9,Red Rock,Sport
105740957,Idaho,17.5,0.0,90,4.1,City of Rocks,Trad
105749242,Colorado,16.0,0.0,144,2.8,Boulder,Trad
105975956,Colorado,19.0,0.0,145,3.8,Boulder,Sport
105721711,California,21.0,0.0,134,4.0,Joshua Tree National Park,Trad
105748274,Colorado,19.0,0.0,80,3.0,Boulder,Sport
105740441,Utah,14.5,0.0,115,3.9,Wasatch Range,Trad
105740648,Utah,19.0,0.0,90,4.2,Wasatch Range,Trad
105718777,Utah,20.0,0.0,87,4.0,Moab Area,Trad
105732536,Nevada,18.0,0.0,139,3.0,Red Rock,Sport
105751195,Colorado,22.0,0.5,37,3.1,Boulder,Sport
105732482,Nevada,19.0,0.0,126,3.9,Red Rock,Trad
105753814,Colorado,13.0,0.0,113,3.1,Boulder,Trad
105820177,Nevada,21.0,0.0,117,3.9,Red Rock,Sport
105749578,Colorado,24.0,0.0,49,3.8,Boulder,Sport
105839425,Utah,20.0,0.0,56,4.1,Wasatch Range,Trad
105717376,Utah,20.0,0.0,102,3.9,Moab Area,Trad
105722347,California,16.0,-0.5,116,4.0,Joshua Tree National Park,Trad
105740987,Utah,18.0,0.0,36,3.8,Wasatch Range,Trad
106107243,Colorado,19.5,1.5,118,3.0,Boulder,Sport
105764829,Colorado,20.0,1.0,41,3.2,Boulder,Trad
105717403,Utah,20.0,0.0,87,4.1,Moab Area,Trad
105748145,Colorado,16.0,0.0,62,3.8,Boulder,Trad
105755278,Colorado,17.5,0.0,115,2.9,Boulder,Sport
105755851,Colorado,20.0,1.0,58,3.8,Canon City,Sport
105732941,Nevada,18.0,-1.0,133,3.9,Red Rock,Trad
105717337,Utah,20.0,-1.0,72,3.0,Moab Area,Trad
105760950,Colorado,20.5,0.5,79,3.8,Boulder,Sport
105721873,California,14.5,0.0,165,3.8,Joshua Tree National Park,Trad
105717505,Utah,22.5,0.0,114,4.0,Moab Area,Trad
105975428,Colorado,22.0,0.0,95,3.9,Boulder,Sport
105749938,Colorado,14.5,0.0,106,2.9,Boulder,Trad
105748093,Colorado,14.5,-0.5,305,4.2,Boulder,Trad
105949670,Nevada,22.5,0.0,91,3.9,Red Rock,Sport
105820173,Nevada,22.0,1.0,132,4.2,Red Rock,Sport
105961980,International,22.5,0.5,104,4.2,North America,Sport
105799356,Idaho,21.0,0.0,35,3.8,City of Rocks,Sport
105741155,Utah,14.5,0.0,41,3.0,Wasatch Range,Trad
105755077,Colorado,17.5,0.0,101,3.9,Boulder,Trad
105749734,Colorado,19.0,0.0,37,3.1,Boulder,Trad
106370830,Colorado,17.5,0.0,42,2.9,Canon City,Sport
105722272,California,19.0,-1.0,67,3.9,Joshua Tree National Park,Trad
105756691,Colorado,25.0,0.0,110,4.2,Boulder,Sport
105732548,Nevada,22.0,0.0,156,3.9,Red Rock,Sport
105717577,Utah,16.5,0.0,98,2.8,Moab Area,Trad
106029327,Colorado,19.0,0.0,40,2.2,Boulder,Sport
105900951,California,8.5,-2.0,168,4.2,Yosemite National Park,Trad
105752269,Colorado,21.0,1.0,82,2.9,Boulder,Sport
105742130,Idaho,14.5,0.0,70,3.8,City of Rocks,Sport
105717886,Utah,23.5,3.5,64,3.8,Moab Area,Trad
105740387,Utah,17.5,0.0,83,3.8,Wasatch Range,Trad
105748508,Colorado,11.5,0.0,113,4.1,Boulder,Trad
105758062,Colorado,21.0,0.0,157,3.9,Boulder,Sport
105740435,Utah,16.0,0.0,168,3.8,Wasatch Range,Trad
105752794,Colorado,10.5,0.0,97,4.0,Boulder,Trad
105915124,California,17.5,0.0,162,4.0,Yosemite National Park,Trad
105725077,California,13.0,0.0,166,3.8,Joshua Tree National Park,Trad
105717487,Utah,18.0,0.0,136,3.8,Moab Area,Trad
106058073,Utah,17.5,0.0,71,2.9,Moab Area,Trad
105740015,Utah,14.5,0.0,292,3.9,Wasatch Range,Trad
105754732,Colorado,22.5,0.0,56,3.2,Boulder,Sport
105758901,Colorado,20.0,0.0,95,3.1,Boulder,Sport
105741512,Idaho,16.0,0.0,151,4.0,City of Rocks,Trad
105826083,Nevada,17.5,0.0,115,3.1,Red Rock,Sport
105749953,Colorado,22.5,-0.25,58,4.2,Boulder,Trad
105857287,Utah,19.0,0.0,119,3.8,Maple Canyon,Sport
105759351,Colorado,22.75,0.0,107,4.1,Boulder,Trad
105750751,Colorado,23.0,1.5,84,4.1,Boulder,Trad
105725389,California,19.0,0.0,139,4.2,Joshua Tree National Park,Trad
105761262,Colorado,20.0,0.0,125,3.1,Boulder,Sport
105883364,Utah,24.5,0.0,86,4.8,Moab Area,Trad
105740000,Utah,13.0,0.0,139,2.9,Wasatch Range,Sport
105722488,California,18.0,0.0,99,3.9,Joshua Tree National Park,Trad
106107557,Colorado,21.0,0.0,26,3.1,Canon City,Sport
105732563,Nevada,20.0,0.0,131,2.9,Red Rock,Sport
105983489,Utah,22.0,0.0,68,3.8,Maple Canyon,Sport
105722407,California,13.0,0.0,105,3.1,Joshua Tree National Park,Trad
105741617,Idaho,14.5,0.0,141,4.0,City of Rocks,Trad
105762984,Colorado,20.0,0.0,100,2.9,Boulder,Sport
105721651,California,17.5,0.0,171,3.9,Joshua Tree National Park,Trad
105748142,Colorado,15.0,0.0,240,4.0,Boulder,Trad
105748897,Colorado,20.0,0.0,87,3.1,Boulder,Trad
105749080,Colorado,16.0,0.0,143,4.1,Boulder,Trad
105751477,Colorado,19.0,-0.5,69,3.1,Boulder,Trad
105739889,Utah,13.0,0.0,160,2.9,Wasatch Range,Sport
105748999,Colorado,18.0,-1.0,210,4.3,Boulder,Trad
105740903,Utah,19.0,0.0,92,2.8,Wasatch Range,Sport
